Age,,o,_,Age,,o,_
43,34150.12,776690.8,15509.54,98,268.6251,692.7553,251.9990
44,33259.56,743386.1,15418.29,99,191.0368,466.0723,179.8511
45,32384.76,710953.7,15321.87,100,132.8967,306.3442,125.5445
46,31525.31,679378.2,15220.24,101,90.31877,196.2939,85.60772
47,30679.18,648645.4,15111.69,102,59.80999,122.2879,56.87508
48,29846.41,618742.1,14996.60,103,38.50421,73.83172,36.73225
49,29026.14,589655.6,14874.40,104,24.10587,42.97790,23.07440
50,28218.45,561373.4,14745.48,105,14.50583,23.95454,13.93092
51,27422.23,533883.8,14609.02,106,8.499510,12.62186,8.196586
52,26635.60,507176.2,14463.37,107,4.743030,6.100189,4.596626
53,25857.97,481241.6,14308.18,108,2.547526,2.510494,2.487274
54,25088.56,456071.3,14142.84,109,1.281603,.6257829,1.266585
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,3211609,16498.17,55,21851.65,378027.9,12022.92
1,96553.61,3114599,15574.03,56,21133.28,356812.3,11856.16
2,94038.43,3020527,15504.74,57,20423.87,336301.5,11680.03
3,91610.95,2928893,15459.72,58,19721.94,316487.4,11493.27
4,89256.03,2839621,15425.90,59,19026.20,297363.2,11294.75
5,86967.80,2752640,15399.17,60,18336.33,278923.0,11084.33
6,84740.79,2667887,15375.72,61,17652.91,261160.8,10862.73
7,82573.31,2585304,15355.41,62,16977.08,244069.4,10631.28
8,80462.08,2504833,15336.43,63,16308.89,227641.6,10390.20
9,78407.20,2426417,15320.35,64,15647.60,211870.0,10138.98
10,76407.12,2350004,15307.03,65,14993.14,196747.9,9877.691
11,74458.82,2275539,15294.81,66,14346.17,182268.2,9607.202
12,72560.19,2202973,15282.90,67,13707.69,168423.0,9328.690
13,70706.39,2132259,15267.66,68,13076.81,155204.4,9041.496
14,68892.27,2063355,15245.03,69,12452.60,142605.4,8744.861
15,67115.16,1996225,15213.32,70,11833.72,130620.1,8437.600
16,65373.27,1930831,15171.67,71,11219.30,119243.5,8118.968
17,63667.51,1867139,15121.90,72,10609.35,108471.3,7789.100
18,61998.66,1805112,15065.74,73,10004.23,98298.95,7448.459
19,60369.21,1744714,15006.65,74,9406.204,88720.49,7099.472
20,58780.14,1685904,14946.63,75,8817.329,79727.90,6744.404
21,57231.08,1628643,14886.36,76,8239.322,71311.30,6385.229
22,55719.95,1572893,14824.73,77,7672.754,63459.66,6022.803
23,54246.99,1518616,14762.99,78,7117.860,56161.57,5657.659
24,52811.82,1465773,14701.71,79,6574.052,49405.80,5289.501
25,51414.03,1414330,14641.45,80,6040.661,43181.74,4917.936
26,50052.13,1364248,14581.69,81,5518.078,37478.91,4543.627
27,48726.25,1315493,14523.43,82,5007.986,32285.79,4168.556
28,47433.47,1268031,14464.68,83,4513.195,27588.66,3795.890
29,46173.03,1221828,14405.49,84,4037.833,23370.33,3430.205
30,44943.22,1176855,14344.99,85,3585.020,19610.06,3075.158
31,43742.94,1133082,14282.82,86,3155.093,16285.43,2731.671
32,42571.55,1090479,14219.10,87,2748.298,13373.71,2400.581
33,41428.86,1049018,14154.40,88,2367.303,10850.73,2085.184
34,40313.41,1008672,14087.95,89,2014.545,8689.804,1788.610
35,39225.44,969413.0,14020.71,90,1691.843,6862.136,1513.427
36,38163.16,931215.7,13951.55,91,1399.390,5337.956,1260.603
37,37126.04,894054.7,13880.62,92,1137.643,4087.171,1031.377
38,36113.96,857905.1,13808.43,93,908.2976,3078.615,828.2536
39,35125.66,822742.8,13734.35,94,712.1473,2279.901,652.8699
40,34161.03,788544.5,13658.88,95,548.4015,1658.650,505.2766
41,33219.60,755287.1,13582.14,96,414.1941,1184.301,383.4023
42,32300.20,722948.1,13503.55,97,306.3394,829.2820,284.7781
43,31401.75,691506.4,13422.58,98,221.8712,569.0582,207.0757
44,30523.25,660941.8,13338.76,99,157.4795,382.1940,147.5425
45,29662.49,631235.6,13250.36,100,109.3387,250.7803,102.8184
46,28818.99,602370.7,13157.36,101,74.16350,160.4146,69.99272
47,27990.82,574331.0,13058.22,102,49.01607,99.76448,46.42219
48,27177.95,547101.2,12953.32,103,31.49384,60.13059,29.93044
49,26379.49,520666.9,12842.15,104,19.67854,34.94344,18.77001
50,25595.46,495013.7,12725.10,105,11.81858,19.44423,11.31303
51,24824.77,470127.8,12601.44,106,6.911448,10.22896,6.645495
52,24065.64,445997.2,12469.72,107,3.849317,4.936150,3.720977
53,23317.51,422610.5,12329.63,108,2.063474,2.028528,2.010732
54,22579.58,399957.4,12180.69,109,1.036064,.5049045,1.022937
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,3050125,14596.50,55,19632.14,331254.8,10357.01
1,96365.76,2953304,13673.25,56,18949.81,312231.2,10207.33
2,93672.88,2859597,13604.16,57,18278.05,293875.3,10049.55
3,91077.29,2768498,13559.36,58,17615.54,276177.5,9882.568
4,88563.46,2679918,13525.77,59,16961.04,259129.1,9705.426
5,86125.09,2593779,13499.27,60,16314.25,242722.4,9518.023
6,83756.40,2510012,13476.07,61,15675.64,226949.6,9321.051
7,81455.31,2428546,13456.01,62,15046.18,211802.2,9115.719
8,79218.24,2349319,13437.32,63,14425.86,197271.1,8902.271
9,77044.95,2272266,13421.50,64,13814.00,183347.6,8680.264
10,74933.55,2197326,13408.42,65,13210.48,170023.5,8449.817
11,72880.75,2124439,13396.45,66,12615.85,157290.3,8211.718
12,70884.19,2053550,13384.80,67,12030.92,145138.7,7967.033
13,68938.82,1984603,13369.93,68,11454.88,133559.7,7715.211
14,67039.37,1917553,13347.88,69,10886.87,122544.8,7455.618
15,65183.00,1852355,13317.06,70,10325.68,112086.8,7187.248
16,63367.73,1788967,13276.64,71,9770.508,102179.3,6909.488
17,61594.23,1727349,13228.45,72,9221.353,92816.42,6622.493
18,59863.04,1667459,13174.17,73,8678.481,83992.09,6326.702
19,58176.31,1609255,13117.17,74,8143.828,75699.12,6024.253
20,56534.76,1552692,13059.39,75,7619.132,67928.55,5717.133
21,54937.79,1497725,13001.47,76,7105.820,60669.84,5407.064
22,53383.14,1444313,12942.37,77,6604.322,53911.54,5094.799
23,51870.84,1392413,12883.27,78,6114.777,47641.93,4780.803
24,50400.29,1341984,12824.74,79,5636.618,41849.51,4464.831
25,48970.86,1292985,12767.29,80,5169.210,36523.36,4146.556
26,47580.94,1245376,12710.41,81,4712.830,31652.74,3826.554
27,46230.40,1199118,12655.09,82,4268.854,27226.08,3506.524
28,44916.28,1154174,12599.40,83,3839.605,23229.98,3189.165
29,43637.66,1110509,12543.40,84,3428.507,19648.22,2878.357
30,42392.75,1068088,12486.28,85,3038.103,16461.61,2577.178
31,41180.31,1026879,12427.69,86,2668.562,13649.65,2286.372
32,39999.57,986850.0,12367.77,87,2319.974,11191.72,2006.606
33,38850.19,947969.8,12307.03,88,1994.470,9066.095,1740.619
34,37730.62,910208.5,12244.78,89,1693.967,7249.039,1490.994
35,36640.93,873536.6,12181.91,90,1419.849,5715.201,1259.823
36,35579.28,837925.5,12117.37,91,1172.128,4438.549,1047.849
37,34545.04,803347.9,12051.30,92,951.0356,3392.930,856.0336
38,33537.95,769776.8,11984.20,93,757.8322,2551.448,686.3917
39,32556.68,737186.2,11915.46,94,593.0195,1886.342,540.2019
40,31601.00,705550.8,11845.58,95,455.7766,1370.020,417.4160
41,30670.33,674845.5,11774.66,96,343.5671,976.5557,316.2235
42,29763.47,645046.3,11702.17,97,253.6091,682.6465,234.4950
43,28879.28,616130.2,11627.64,98,183.3231,467.6343,170.2293
44,28016.74,588075.5,11550.62,99,129.8657,313.5365,121.0867
45,27173.69,560861.9,11469.56,100,89.99089,205.3768,84.24033
46,26349.61,534470.3,11384.44,101,60.92129,131.1463,57.24919
47,25542.61,508883.0,11293.88,102,40.18570,81.42248,37.90587
48,24752.59,484083.3,11198.25,103,25.76991,48.99195,24.39814
49,23978.64,460054.8,11097.10,104,16.07069,28.42260,15.27485
50,23220.69,436781.7,10990.81,105,9.632988,15.78963,9.190878
51,22477.69,414248.7,10878.73,106,5.622366,8.293138,5.390159
52,21747.95,392442.0,10759.57,107,3.125273,3.995888,3.013388
53,21030.86,371348.8,10633.10,108,1.672082,1.639772,1.626168
54,20325.68,350956.9,10498.89,109,.8379140,.4075457,.8265027
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,2901634,12950.97,55,17641.75,290436.3,8928.661
1,96178.64,2805001,12028.60,56,16995.53,273374.6,8794.288
2,93309.45,2711658,11959.72,57,16361.22,256943.7,8652.909
3,90547.78,2621088,11915.13,58,15737.56,241132.6,8503.585
4,87877.59,2533194,11881.76,59,15123.42,225931.3,8345.479
5,85292.17,2447889,11855.50,60,14518.46,211330.6,8178.541
6,82785.32,2365092,11832.55,61,13923.06,197321.3,8003.418
7,80354.58,2284728,11812.74,62,13338.02,183893.5,7821.217
8,77996.00,2206723,11794.31,63,12763.30,171037.1,7632.183
9,75708.94,2131006,11778.75,64,12198.22,158742.2,7435.950
10,73491.18,2057509,11765.91,65,11642.64,146999.4,7232.653
11,71339.10,1986164,11754.18,66,11096.99,135799.2,7023.012
12,69250.04,1916908,11742.79,67,10561.93,125131.3,6807.992
13,67218.75,1849682,11728.27,68,10036.70,114985.8,6587.130
14,65239.77,1784432,11706.80,69,9520.495,105353.4,6359.893
15,63310.05,1721107,11676.83,70,9012.201,96225.68,6125.430
16,61427.43,1659661,11637.62,71,8511.093,87595.28,5883.235
17,59592.30,1600045,11590.95,72,8017.126,79455.12,5633.473
18,57804.92,1542215,11538.48,73,7530.498,71798.06,5376.556
19,56067.10,1486120,11483.49,74,7052.847,64616.06,5114.365
20,54379.26,1431714,11427.85,75,6585.629,57899.53,4848.643
21,52740.57,1378946,11372.20,76,6130.019,51637.61,4580.891
22,51148.60,1327769,11315.52,77,5686.326,45818.71,4311.765
23,49603.10,1278138,11258.95,78,5254.605,40431.06,4041.673
24,48103.25,1230007,11203.03,79,4834.303,35463.13,3770.409
25,46648.21,1183332,11148.25,80,4424.818,30903.97,3497.698
26,45236.20,1138069,11094.12,81,4026.326,26742.84,3224.040
27,43866.87,1094177,11041.57,82,3639.941,22968.34,2950.890
28,42537.18,1051613,10988.78,83,3267.574,19567.59,2680.546
29,41246.04,1010341,10935.80,84,2912.056,16525.36,2416.296
30,39991.55,970323.1,10881.86,85,2575.450,13824.02,2160.729
31,38772.35,931523.6,10826.65,86,2257.791,11444.91,1914.444
32,37587.53,893908.3,10770.28,87,1959.050,9369.365,1677.969
33,36436.57,857443.6,10713.26,88,1680.915,7577.912,1453.578
34,35317.84,822097.0,10654.93,89,1424.883,6049.493,1243.398
35,34231.24,787836.8,10596.13,90,1191.989,4761.808,1049.135
36,33174.87,754632.3,10535.90,91,982.1120,3692.116,871.3485
37,32147.98,722454.0,10474.36,92,795.3140,2817.706,710.7829
38,31150.16,691273.1,10411.97,93,632.5150,2115.373,569.0538
39,30180.04,661061.6,10348.19,94,493.9951,1561.330,447.1552
40,29237.25,631792.5,10283.47,95,378.9323,1132.060,344.9705
41,28321.09,603439.1,10217.92,96,285.0867,805.5691,260.9197
42,27430.32,575975.9,10151.04,97,210.0323,562.1613,193.1675
43,26563.77,549378.3,10082.42,98,151.5285,384.4397,139.9953
44,25720.34,523623.1,10011.65,99,107.1341,257.3151,99.41460
45,24897.95,498688.5,9937.299,100,74.09476,168.2609,69.04694
46,24096.01,474554.1,9859.383,101,50.06266,107.2612,46.84483
47,23312.67,451200.7,9776.653,102,32.95887,66.47954,30.96449
48,22547.75,428610.0,9689.454,103,21.09452,39.93283,19.89653
49,21800.33,406764.3,9597.403,104,13.12946,23.12804,12.43562
50,21070.25,385646.5,9500.856,105,7.854697,12.82717,7.469882
51,20356.45,365240.0,9399.253,106,4.575552,6.726431,4.373759
52,19657.33,345529.6,9291.443,107,2.538448,3.236065,2.441366
53,18972.27,326501.0,9177.239,108,1.355482,1.326068,1.315700
54,18300.51,308140.9,9056.282,109,.6779403,.3290972,.6680673
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,2764838,11525.17,55,15856.44,254792.7,7703.075
1,95992.25,2668393,10603.68,56,15246.01,239487.3,7582.415
2,92948.14,2575411,10535.00,57,14648.55,224776.4,7455.711
3,90022.36,2485367,10490.62,58,14062.87,210647.8,7322.146
4,87198.34,2398152,10457.48,59,13487.89,197090.4,7181.000
5,84468.89,2313670,10431.44,60,12923.26,184093.9,7032.257
6,81827.35,2231832,10408.74,61,12369.26,171648.0,6876.525
7,79270.82,2152551,10389.18,62,11826.55,159741.9,6714.811
8,76794.93,2075747,10371.01,63,11295.02,148364.5,6547.359
9,74398.63,2001341,10355.71,64,10774.03,137505.1,6373.866
10,72079.29,1929256,10343.11,65,10263.38,127153.4,6194.476
11,69832.96,1859417,10331.61,66,9763.419,117299.1,6009.847
12,67656.63,1791755,10320.47,67,9274.653,107931.4,5820.847
13,65544.81,1726203,10306.30,68,8796.360,99039.73,5627.088
14,63491.82,1662701,10285.38,69,8327.773,90614.05,5428.124
15,61494.40,1601192,10256.25,70,7867.881,82645.33,5223.230
16,59550.14,1541624,10218.19,71,7416.001,75125.37,5011.989
17,57659.14,1483942,10172.99,72,6972.053,68046.32,4794.571
18,55821.34,1428096,10122.27,73,6536.168,61400.31,4571.358
19,54038.23,1374031,10069.22,74,6109.723,55178.70,4344.004
20,52309.90,1321695,10015.65,75,5693.926,49371.60,4114.035
21,50635.24,1271034,9962.168,76,5289.735,43968.04,3882.758
22,49011.65,1221995,9907.802,77,4897.352,38956.51,3650.744
23,47438.60,1174530,9853.645,78,4516.762,34325.38,3418.350
24,45915.05,1128589,9800.213,79,4147.425,30063.32,3185.399
25,44439.91,1084123,9747.976,80,3788.764,26159.52,2951.659
26,43011.23,1041086,9696.463,81,3440.873,22603.45,2717.562
27,41628.42,999433.5,9646.547,82,3104.642,19384.03,2484.353
28,40288.35,959120.5,9596.496,83,2781.635,16489.03,2253.986
29,38989.76,920106.1,9546.368,84,2474.185,13904.25,2029.249
30,37730.63,882350.3,9495.424,85,2183.951,11613.54,1812.318
31,36509.47,845815.3,9443.381,86,1910.870,9599.987,1603.671
32,35325.20,810464.0,9390.356,87,1654.819,7846.768,1403.722
33,34177.15,776260.5,9336.819,88,1417.125,6336.452,1214.359
34,33063.60,743170.0,9282.158,89,1198.945,5050.388,1037.332
35,31984.24,711158.7,9227.166,90,1001.036,3968.986,874.0285
36,30937.14,680193.9,9170.938,91,823.1823,3072.397,724.8656
37,29921.42,650244.2,9113.603,92,665.3209,2340.908,590.4118
38,28936.52,621279.1,9055.590,93,528.1057,1754.510,471.9614
39,27981.01,593269.0,8996.401,94,411.6520,1292.819,370.2818
40,27054.38,566185.1,8936.454,95,315.1568,935.7964,285.2113
41,26155.83,539999.5,8875.852,96,236.6463,664.7811,215.3733
42,25284.07,514685.0,8814.153,97,174.0068,463.1235,159.1869
43,24437.87,490216.1,8750.957,98,125.2945,316.1706,115.1770
44,23616.09,466568.0,8685.910,99,88.41435,211.2587,81.65407
45,22816.68,443717.7,8617.710,100,61.02956,137.9075,56.61652
46,22038.97,421643.6,8546.376,101,41.15515,87.76136,38.34679
47,21281.19,400325.3,8470.780,102,27.04208,54.30081,25.30446
48,20543.04,379743.1,8391.256,103,17.27408,32.56198,16.23210
49,19823.57,359878.3,8307.470,104,10.73074,18.82739,10.12827
50,19122.56,340712.5,8219.760,105,6.407223,10.42477,6.073630
51,18438.94,322228.3,8127.638,106,3.725130,5.457932,3.550476
52,17771.17,304409.1,8030.077,107,2.062641,2.621801,1.978743
53,17118.60,287239.7,7926.929,108,1.099276,1.072821,1.064945
54,16480.47,270705.6,7817.894,109,.5487341,.2658595,.5402266
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,2638586,10288.08,55,14254.74,223649.0,6650.679
1,95806.58,2542327,9367.465,56,13679.46,209916.2,6542.310
2,92588.92,2449704,9298.977,57,13117.98,196742.4,6428.733
3,89500.99,2360182,9254.820,58,12569.13,184114.5,6309.237
4,86525.65,2273640,9221.901,59,12031.91,172020.7,6183.204
5,83655.13,2189972,9196.088,60,11505.93,160449.6,6050.644
6,80882.29,2109079,9173.620,61,10991.39,149390.1,5912.123
7,78203.73,2030865,9154.306,62,10488.80,138830.7,5768.561
8,75614.63,1955242,9136.404,63,9998.021,128759.7,5620.190
9,73113.46,1882121,9121.350,64,9518.406,119165.9,5466.766
10,70697.18,1811418,9108.974,65,9049.736,110038.3,5308.433
11,68361.44,1743051,9097.710,66,8592.239,101366.1,5145.791
12,66102.86,1676943,9086.816,67,8146.317,93138.10,4979.621
13,63915.67,1613020,9072.987,68,7711.267,85343.24,4809.597
14,61793.96,1551216,9052.608,69,7286.364,77971.21,4635.342
15,59734.19,1491468,9024.277,70,6870.667,71012.49,4456.242
16,57733.70,1433716,8987.346,71,6463.534,64458.35,4271.950
17,55792.25,1377902,8943.565,72,6064.851,58300.42,4082.636
18,53909.48,1323969,8894.538,73,5674.685,52530.37,3888.652
19,52086.49,1271857,8843.352,74,5294.186,47139.23,3691.453
20,50323.06,1221509,8791.764,75,4924.348,42117.01,3492.370
21,48617.79,1172866,8740.361,76,4565.938,37452.82,3292.542
22,46967.86,1125872,8688.211,77,4219.068,33135.39,3092.465
23,45372.48,1080474,8636.362,78,3883.663,29153.39,2892.448
24,43830.34,1036619,8585.306,79,3559.197,25495.81,2692.340
25,42340.13,994254.1,8535.488,80,3245.116,22152.17,2491.942
26,40899.69,953330.3,8486.456,81,2941.443,19112.24,2291.627
27,39508.19,913798.8,8439.036,82,2648.882,16365.44,2092.456
28,38162.42,875613.0,8391.579,83,2368.701,13900.20,1896.094
29,36860.92,838728.8,8344.141,84,2102.817,11703.39,1704.902
30,35601.55,803103.6,8296.024,85,1852.556,9760.272,1520.707
31,34382.66,768696.8,8246.965,86,1617.778,8055.563,1343.888
32,33203.03,735469.3,8197.076,87,1398.290,6574.127,1174.770
33,32061.82,703382.7,8146.804,88,1195.127,5300.407,1014.913
34,30957.19,672400.4,8095.574,89,1009.170,4217.908,865.7608
35,29888.67,642486.4,8044.136,90,840.9574,3309.436,728.4366
36,28854.26,613606.3,7991.642,91,690.2071,2557.680,603.2460
37,27852.94,585727.1,7938.217,92,556.7673,1945.541,490.6190
38,26884.03,558816.6,7884.266,93,441.0853,1455.768,391.5892
39,25946.01,532843.6,7829.328,94,343.1556,1070.899,306.7450
40,25038.25,507778.0,7773.793,95,262.2085,773.8592,235.8973
41,24159.84,483590.6,7717.761,96,196.5074,548.8123,177.8478
42,23309.43,460253.2,7660.824,97,144.2131,381.6828,131.2359
43,22485.74,437738.8,7602.620,98,103.6405,260.1270,94.79619
44,21687.57,416021.9,7542.826,99,72.99270,173.5144,67.09322
45,20912.91,395078.2,7480.255,100,50.28704,113.0746,46.44251
46,20161.03,374885.0,7414.934,101,33.84537,71.83514,31.40297
47,19430.16,355420.9,7345.846,102,22.19598,44.37092,20.68737
48,18719.93,336665.3,7273.309,103,14.15104,26.56234,13.24792
49,18029.38,318598.5,7197.030,104,8.773690,15.33263,8.252381
50,17358.17,301201.1,7117.335,105,5.228553,8.475759,4.940377
51,16705.25,284454.8,7033.792,106,3.033976,4.430458,2.883341
52,16069.12,268342.2,6945.488,107,1.676693,2.125004,1.604443
53,15449.12,252847.3,6852.308,108,.8918581,.8682954,.8623360
54,14844.45,237954.5,6754.000,109,.4443347,.2148620,.4370294
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,2521855,9213.219,55,12817.48,196421.0,5746.321
1,95621.62,2425782,8293.482,56,12276.45,184096.7,5648.971
2,92231.78,2333516,8225.191,57,11749.83,172296.9,5547.140
3,88983.65,2244511,8181.246,58,11236.49,161007.8,5440.209
4,85859.43,2158636,8148.549,59,10735.46,150217.1,5327.645
5,82850.76,2075772,8122.959,60,10246.34,139912.7,5209.480
6,79949.94,1995811,8100.728,61,9769.228,130083.0,5086.241
7,77153.02,1918649,8081.654,62,9304.532,120715.8,4958.763
8,74454.69,1844186,8064.010,63,8852.041,111799.2,4827.270
9,71852.92,1772325,8049.201,64,8411.131,103321.4,4691.560
10,69344.16,1702975,8037.050,65,7981.542,95271.21,4551.779
11,66923.68,1636046,8026.012,66,7563.417,87637.41,4408.471
12,64587.68,1571453,8015.357,67,7157.045,80408.58,4262.336
13,62330.06,1509117,8001.858,68,6761.749,73573.54,4113.101
14,60144.65,1448962,7982.003,69,6376.831,67121.73,3960.448
15,58027.61,1390921,7954.454,70,6001.416,61043.40,3803.853
16,55976.00,1334928,7918.613,71,5634.893,55329.52,3643.030
17,53989.23,1280917,7876.205,72,5277.115,49971.42,3478.143
18,52066.60,1228828,7828.808,73,4928.093,44960.50,3309.515
19,50208.82,1178594,7779.418,74,4588.780,40287.69,3138.423
20,48415.31,1130155,7729.737,75,4259.979,35943.04,2966.030
21,46684.39,1083446,7680.330,76,3942.298,31915.91,2793.326
22,45013.01,1038409,7630.301,77,3635.774,28195.37,2620.741
